"Reservoir","Reservoir_type","Year","Cyanobacteria_Max_cells/ml","logCyanoMax_cells/ml","Chlorophyll_a_ug/l","Secchi_cm","TP_ppb","P_dissolved_ppb","TKN_ppm","NH3_ppm","NOx_ppm","TOC_ppm","Alkalinity_ppm","NH36to8inflow_ppm","TKN6to8inflow_ppm","NOx6to8inflow_ppm","TP6to8inflow_ppb","TOC6to8inflow_ppm","Summer_precip_inches","Summer_precip_Z-score","mayST_Celsius","junST_Celsius","julST_Celsius","augST_Celsius","mayDO_mg/l","junDO_mg/l","mayDT_Celsius","junDT_Celsius","julDT_Celsius","augDT_Celsius"
"CFK",1,2003,"11475.5","4.060","na","59.3","na","na","na","na","na","na","na","na","na","na","na","na",19.42,1.207,"21.30","24.05","26.30","27.87","6.01","2.77","13.33","16.95","17.67","18.63"
"CFK",1,2005,"171.4","2.234","na","92.0","na","na","na","na","na","na","na","na","na","na","na","na",9.66,-0.969,"21.71","27.76","27.18","28.75","6.10","4.37","10.83","11.48","12.79","13.32"
"CFK",1,2006,"2919.0","3.465","na","99.7","na","na","na","na","na","na","na","na","na","na","na","na",11.54,-0.55,"21.30","25.38","28.40","28.78","6.75","3.38","11.00","12.28","14.14","16.08"
"CFK",1,2008,"1876.3","3.273","na","216.0","0.7","na","0.230","0.038","0.017","12.57","172.9","0.052","0.240","0.267","21.9","20.0",9.46,-1.014,"18.12","24.07","27.08","27.20","5.89","4.58","8.72","9.12","10.96","12.59"
"CFK",1,2009,"na","na","na","67.0","39.8","na","0.781","0.043","0.126","8.31","120.0","0.041","0.589","3.187","269.3","9.2",16.58,0.574,"21.96","24.88","26.52","27.97","8.85","4.59","12.86","15.62","18.06","19.43"
"CFK",1,2010,"na","na","na","100.0","na","na","na","na","na","na","na","na","na","na","na","na",13.24,-0.171,"21.88","28.93","29.46","29.73","8.12","4.08","11.36","12.02","13.44","15.24"
"CFK",1,2016,"85879.1","4.934","2.02","249.0","31.6","na","0.286","0.102","0.040","4.21","131.0","na","na","na","na","na",16.45,0.545,"19.56","27.40","29.35","30.43","6.21","7.04","10.05","12.78","13.92","15.94"
"CFK",1,2017,"67562.9","4.830","4.05","156.0","7.6","57.7","0.164","0.065","0.006","4.23","94.4","0.081","0.160","0.164","20.0","2.7",14.18,0.039,"21.13","26.07","28.85","28.14","6.36","3.29","13.21","15.57","16.39","18.12"
"CFK",1,2018,"396553.2","5.598","6.19","168.0","88.8","89.2","0.152","0.074","0.036","3.26","129.5","na","na","na","na","na",17.41,0.759,"23.35","27.41","29.35","28.33","6.40","5.90","10.83","12.84","14.89","16.29"
"CHL",3,1987,"na","na","45.60","24.0","23.5","18","0.400","0.050","1.000","4.50","129.5","0.000","0.300","1.950","84.0","2.5",18.17,1.736,"na","na","na","na","na","na","na","na","na","na"
"CHL",3,1988,"na","na","30.80","36.0","50.0","1150","0.400","0.050","3.900","2.33","113.0","0.000","0.400","0.325","47.5","1.8",6.88,-1.307,"na","na","na","na","na","na","na","na","na","na"
"CHL",3,1989,"na","na","8.25","42.0","27.0","26","0.500","0.050","3.200","1.50","121.5","0.150","0.500","2.400","118.5","2.5",13.61,0.507,"16.74","24.77","27.04","25.81","5.92","0.98","10.87","16.16","18.83","21.87"
"CHL",3,1991,"na","na","na","na","13.3","5","0.600","0.050","1.600","na","176.0","0.000","0.250","0.150","32.5","7.0",7.12,-1.242,"20.78","27.44","27.93","25.27","4.39","3.99","12.77","14.13","14.96","15.20"
"CHL",3,1996,"na","na","na","58.0","na","na","na","na","na","5.50","137.0","na","na","3.860","na","6.5",9.52,-0.595,"16.32","23.37","26.24","26.72","6.15","2.62","12.90","15.87","19.37","20.53"
